,song,album,album_id,artists,track_number,disc_number
23,Do It for Love,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],2,1
77,Rosaryville,Rosaryville,747XdfKqkymjuvap8Lm1Hv,['Kate Campbell'],1,1
130,Dilate,Dilate,4KE4xztIchTBItYOnCT3FU,['Ani DiFranco'],4,1
168,Imperfectly,Imperfectly,6yIQT5AvjFQ0kRo3RxBN6n,['Ani DiFranco'],13,1
212,Red Moon,Live Under the Red Moon,49IfAdGx0aRX0N7QSUaNsM,['The Call'],9,1
243,Miss Perfect (feat. Nodesha),Nodesha,4Yjnki7SUpEbmPVzWpgede,"['ABS', 'Nodesha', 'Tom Elmhirst']",14,1
299,Highwayman,Highwayman,6rFM5jHaGzwut3hGbG9pGU,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",1,1
380,Whole New You,Whole New You,4qye8JvPSQlrkc3rOTfZmS,['Shawn Colvin'],2,1
399,Small Planes,Small Planes,1iyTLD4EXY7G9gHYb7MZRQ,['The Innocence Mission'],10,1
427,Psychosis,Psychosis,4Gc1EWUBmRkqmf7MwC4aUd,['Reflected Illusions'],1,1
471,El Rauncho Grundge',El Rauncho Grundge,4QJ2Ud0wIsaG4oWGURJbyX,['Too Slim and the Taildraggers'],5,1
500,Shooting Star,Shooting Star,5DfHOYTKoKh23OS6g2NKqS,['Reflected Illusions'],7,1
531,Salle des pas perdus,Salle des pas perdus,4pDc7fgf4OewAt03wRsHJY,['Coralie Clement'],1,1
544,God Finds Us,God Finds Us,11ohLClJoH2mIcJOoE2YKW,['Jason Upton'],1,1
561,Transatlanticism,Transatlanticism,2sfLsbSsDm780Llr9NWHQz,['Death Cab for Cutie'],7,1
612,Left Of The Middle,Left Of The Middle,38alWeQVP9UUAGJvLptys9,['Natalie Imbruglia'],12,1
630,Rooftops,Rooftops,1owUgxkhgdF9XML0idqlz0,['Peter Kater'],2,1
640,Mirrors,Mirrors,083v6CSHrw2TzgKKIXg6ll,['Blue Öyster Cult'],4,1
690,Jack's Crows,Jack's Crows,5PYohQD1WAQevAz6afttqh,['John Gorka'],3,1
708,Out Of The Valley,Out Of The Valley,56mJdWSLXUcF7eAjvJG7KX,['John Gorka'],8,1
732,Rain Maiden,Rain Maiden,0r4S1ChpMUMc2JZHMPbU5N,['Wind Machine'],8,1
743,Spaced Out,Spaced Out,1rr6pJFjkdwJGuYhvXW7wY,['Reflected Illusions'],5,1
752,Educated Guess,Educated Guess,4lyeF9l5aUEmEhP0WfoLFh,['Ani DiFranco'],3,1
795,Drowning By Proxy,Drowning By Proxy,7ao9SFaMgsAPNol7RnINa8,['Full Catastrophe Living'],2,1
836,Lonely Woman/Exit La Place Demon/The Electronic Family,La Place Demon,2KBMVguBdtMIJmU0rq52jD,"['Tied & Tickled Trio', 'Billy Hart']",7,1
853,Grass String Ranch,Songs From The Grass String Ranch,679z0hs2yjzmWh3Ekdttxr,['The Kentucky Headhunters'],1,1
900,Great Big Boy,Great Big Boy,5apNSieQiGPCfZE7APfGxU,['Leo Kottke'],3,1
960,Seven Turns,Seven Turns,3hs8EILzVWUSLljBX0wlN7,['Allman Brothers Band'],6,1
1021,Twisted Angel,Twisted Angel,1b1o9ptRtfjuIi22SjAwLB,['LeAnn Rimes'],13,1
1069,Submarine (Depth Charge Mix by Saru),Submarine,4rRM8IOP281Rh6s0MVFljh,['Cranes'],1,1
1073,Submarine (Greg Long's Patina Mix),Submarine,4rRM8IOP281Rh6s0MVFljh,['Cranes'],5,1
1075,Submarine (Jack Dangers Remix),Submarine,4rRM8IOP281Rh6s0MVFljh,['Cranes'],7,1
1076,Submarine (Thin Men Remix),Submarine,4rRM8IOP281Rh6s0MVFljh,['Cranes'],8,1
1250,Species Closeout,Species Closeout,0L0c9UY7fFj2S3NXxD1t2g,['Thea K'],1,1
